id,state,title,description,technologies,reference_1,reference_2,reference_3,reference_4,reference_5,reference_6,reference_7,reference_8,reference_9,reference_10,last_update
4781,VA,Alternative Fuel School Bus and Fueling Infrastructure Loans,"The Virginia Board of Education may use funding from the Literary Fund
to provide loans to school boards that convert school buses to operate
on alternative fuels or construct alternative fueling stations.
(Reference [Virginia Code](http://lis.virginia.gov/000/src.htm)
22.1-146)
",ELEC,<a href = 'http://lis.virginia.gov/000/src.htm' target = '_blank'>Virginia Code 22.1-146</a>,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-12-25T15:18:49Z
4788,VA,Alternative Fuel Vehicle (AFV) Tax Reduction Authorization,"Local governments may reduce personal property taxes paid on AFVs and
low-speed vehicles. AFVs include vehicles that operate using natural
gas, liquefied petroleum gas or propane, hydrogen, or electricity.
(Reference [Virginia Code](http://lis.virginia.gov/000/src.htm)
58.1-3506)
",ELEC,<a href = 'http://lis.virginia.gov/000/src.htm' target = '_blank'>Virginia Code 58.1-3506</a>,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-12-25T15:18:49Z
4789,VA,Alternative Fuel Tax,"Alternative fuels used to operate on-road vehicles are taxed at a rate
of \$0.262 per gasoline gallon equivalent (GGE). Alternative fuels are
taxed at the same rate as gasoline and gasohol (5.1% of the statewide
average wholesale price of a gallon of self-serve unleaded regular
gasoline). Refer to the Virginia Department of Motor Vehicles (DMV)
[Fuels Tax Rates and Alternative Fuels
Conversion](https://www.dmv.virginia.gov/commercial/#taxact/tax_rates.asp)
website for fuel-specific GGE calculations.

(Reference [Virginia Code](http://lis.virginia.gov/000/src.htm)
58.1-2217 and 58.1-2249)
",ELEC,"<a href = 'http://virginiageneralassembly.gov/' target = '_blank'>Senate Bill 127, 2014, and </a>",<a href = 'http://lis.virginia.gov/000/src.htm' target = '_blank'>Virginia Code 58.1-2217 and 58.1-2249</a>,"<a href = 'http://virginiageneralassembly.gov/' target = '_blank'>House Bill 2313, 2013</a>",NA,NA,NA,NA,NA,NA,NA,2022-12-25T15:18:49Z
4796,VA,Alternative Fuel Provider License,"Alternative fuel providers, bulk users, and retailers, or any person who
fuels an alternative fuel vehicle from a private source that does not
pay the alternative fuels tax must obtain an alternative fuel license
from the Virginia Department of Motor Vehicles (DMV). For more
information, see the DMV [Fuels Tax
Licensing](http://www.dmv.virginia.gov/commercial/#taxact/license.asp)
website. (Reference [Virginia Code](http://lis.virginia.gov/000/src.htm)
58.1-2244)
",ELEC,<a href = 'http://lis.virginia.gov/000/src.htm' target = '_blank'>Virginia Code 58.1-2244</a>,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-12-25T15:18:49Z
4806,WA,Alternative Fuel Vehicle (AFV) Emissions Inspection Exemption,"AFVs powered exclusively by electric, natural gas, and propane vehicles
are exempt from state emissions control inspections. Plug-in hybrid
electric vehicles that obtain a U.S. Environmental Protection Agency
fuel economy rating of at least 50 miles per gallon during city driving
are also exempt from these inspections. (Reference [Revised Code of
Washington](http://apps.leg.wa.gov/rcw/) 46.16A.060)
",ELEC,<a href = 'http://apps.leg.wa.gov/rcw/' target = '_blank'>Revised Code of Washington 46.16A.060</a>,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-12-25T15:18:49Z
4841,WI,Alternative Fuel Vehicle and Alternative Fuel Use Policy,"The Wisconsin Department of Administration (DOA) encourages state
employees operating state-owned or leased motor vehicles to use hybrid
electric vehicles or vehicles that operate on gasohol (a motor fuel
containing at least 10% alcohol) or alternative fuels whenever feasible
and cost effective. DOA must place a list of gasohol and alternative
fueling station locations in each state-owned or state-leased motor
vehicle for driver reference. DOA also encourages Wisconsin residents
and state employees who use personal motor vehicles on state business to
use gasohol and alternative fuels.

(Reference [Wisconsin Statutes 16.045](http://legis.wisconsin.gov/rsb/stats.html))",ELEC,<a href = 'http://legis.wisconsin.gov/rsb/stats.html' target = '_blank'>Wisconsin Statutes 16.045</a>,"<a href = 'https://docs.legis.wisconsin.gov/code/executive_orders/2003_jim_doyle/2006-141.pdf' target = '_blank'>Executive Order 141, 2006</a>",NA,NA,NA,NA,NA,NA,NA,NA,2022-12-25T15:18:49Z
5124,FL,Electric Vehicle (EV) Insurance Regulation,"Insurance companies may not impose surcharges on EVs based on factors
such as new technology, passenger payload, weight-to-horsepower ratio,
and the types of material used to manufacture the vehicle, unless the
Florida Office of Insurance Regulation receives actuarial data that
determines the surcharges are justified. (Reference [Florida
Statutes](http://www.flsenate.gov/Laws/) 627.06535)
",ELEC,<a href = 'http://www.flsenate.gov/Laws/' target = '_blank'>Florida Statutes 627.06535</a>,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-12-25T15:18:49Z
5182,GA,Electric Vehicle (EV) Charging Station Tax Credit,"An eligible business enterprise may claim an income tax credit for the
purchase and installation of qualified EV charging station. The EV
charging station must be located in Georgia and accessible to the
public. The tax credit is for 10% of the cost of the EV charging
station, up to \$2,500. For more information, including eligibility
requirements, see the Georgia Department of Natural Resources [Clean
Vehicle Tax
Credits](https://epd.georgia.gov/forms-permits/air-protection-branch-forms-permits/clean-vehicle-tax-credits)
website. (Reference [Georgia Code](https://www.legis.ga.gov/)
48-7-40.16)
",ELEC,<a href = 'http://www.legis.state.ga.us/' target = '_blank'>Georgia Code 48-7-40.16</a>,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-12-25T15:18:49Z
5183,GA,High Occupancy Vehicle (HOV) and High Occupancy Toll (HOT) Lane Exemption,"Alternative fuel vehicles (AFVs) displaying the proper alternative fuel
license plate may use HOV and HOT lanes, regardless of the number of
passengers. Qualified AFVs may also use the HOT lanes toll-free. AFVs
include electric vehicles and bi-fuel or dual-fuel vehicles that operate
on natural gas or propane. Applicants must provide proof they have paid
registration fees in full before receiving the license plate. This
exemption expires September 30, 2025. For more information on fees and
eligibility for the AFV license plate, see the [Georgia Department of
Public Safety](https://dps.georgia.gov/i-85-expres-lanes-hot-lanes)
websites. (Reference [Georgia
Code](http://www.legis.ga.gov/en-US/default.aspx) 32-9-4, 40-2-86.1, and
40-6-54)
",ELEC,"<a href = 'http://www.legis.ga.gov/en-US/default.aspx' target = '_blank'>Georgia Code 32-9-4, 40-2-86.1, and 40-6-54</a>","<a href = 'http://www.legis.ga.gov/en-US/default.aspx' target = '_blank'>House Bill 170, 2015</a>",NA,NA,NA,NA,NA,NA,NA,NA,2022-12-25T15:18:49Z
5197,AK,Alternative Fuel Vehicle Acquisition Requirement,"The Alaska Department of Transportation and Public Facilities
(Department) must evaluate the cost, efficiency, and commercial
availability of alternative fuels for automotive purposes every five
years, and purchase or convert to vehicles that operate using
alternative fuels whenever practical. The Department may participate in
joint ventures with public or private partners to foster the
availability of alternative fuels for consumers.

(Reference [Alaska Statutes 44.42.020](http://www.akleg.gov/basis/statutes.asp))",ELEC,<a href = 'http://www.akleg.gov/basis/statutes.asp' target = '_blank'>Alaska Statutes 44.42.020</a>,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-12-25T15:18:49Z
5200,IN,Certified Technology Park Designation,"The Indiana Economic Development Corporation (IDEC) may designate an
area as a certified technology park if certain criteria are met,
including a commitment from at least one business engaged in a high
technology activity that creates a significant number of jobs. The
establishment of high technology activities and public facilities within
a technology park serves a public purpose and benefits the public's
general welfare by encouraging investment, job creation and retention,
and economic growth and diversity. High technology activities include
advanced vehicles technology, which is any technology that involves
electric vehicles, hybrid electric vehicles, or alternative fuel
vehicles, or components used in the construction of these vehicles. For
more information, see the IEDC [Indiana Certified Technology
Parks](http://iedc.in.gov/programs/certified-technology-parks) website.
(Reference [Indiana Code](http://www.in.gov/legislative/ic/code/)
36-7-32)
",ELEC,<a href = 'http://www.in.gov/legislative/ic/code/' target = '_blank'>Indiana Code 36-7-32</a>,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-12-25T15:18:49Z
5216,OK,Alternative Fuel Technician Training,"The Alternative Fuels Technician Certification Act (Act) regulates the
training, testing, and certification of technicians and trainees who
install, modify, repair, or renovate equipment used in alternative
fueling infrastructure and in the conversion of any engine to operating
on an alternative fuel. Alternative fuels include propane, natural gas,
methanol, ethanol, electricity, hydrogen, biodiesel, and more. This
includes original equipment manufacturer engines dedicated to operating
on an alternative fuel. Electric vehicles (EVs), EV charging
infrastructure, and EV technicians must also comply with the rules and
regulations of this Act. (Reference [Oklahoma
Statutes](http://www.oklegislature.gov/) 40-142.1 through 40-142.16)
",ELEC,<a href = 'http://www.oklegislature.gov/' target = '_blank'>Oklahoma Statutes 40-142.3</a>,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-12-25T15:18:49Z
5236,IA,Alternative Fuel Vehicle (AFV) Demonstration Grant Authorization,"The Iowa Department of Natural Resources (Department) may award
demonstration grants to individuals who purchase vehicles that operate
on alternative fuels, including but not limited to E85, biodiesel,
compressed natural gas, electricity, solar energy, or hydrogen.
Individuals may use the grants to conduct research connected with the
fuel or vehicle. Grant funding to purchase the vehicle is available if
the Department retains the title of the vehicle, the vehicle is used for
research, and the proceeds from the eventual sale of the vehicle are
used for additional research. Grants are subject to funding
availability. (Reference [Iowa Code](https://www.legis.iowa.gov/)
214A.19)
",ELEC,"<a href = 'https://www.legis.iowa.gov/' target = '_blank'>House File 750, 2019</a>",<a href = 'https://www.legis.iowa.gov/' target = '_blank'>Iowa Code 214A.19</a>,NA,NA,NA,NA,NA,NA,NA,NA,2022-12-25T15:18:49Z
5253,MO,Alternative Fuel Vehicle (AFV) Acquisition and Alternative Fuel Use Requirements,"A state agency that operates a vehicle fleet consisting of 15 vehicles
or more must ensure that at least 50% of new vehicles purchased over a
defined biennial period are capable of operating using an alternative
fuel. Excess acquisitions of AFVs may be credited towards future
biennial goals. If a state agency fails to meet a biennial acquisition
goal, purchases of any non-AFVs are not permitted until the goals are
met or an exemption or goal reduction has been granted. In addition, 30%
of the fuel purchased annually for use in operating state fleet vehicles
must be alternative fuels.

(Reference [Missouri Revised Statutes 414.4365and 414.407](https://revisor.mo.gov/main/Home.aspx))",ELEC,<a href = 'https://revisor.mo.gov/main/Home.aspx' target = '_blank'>Missouri Revised Statutes 414.4365and 414.407</a>,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-12-25T15:18:49Z
